"Type","Inputs","Farmer","Gender","Site","ranef","Yield"
"A","0",1,"Female","X",1.48139008708749,10.0031326678262
"B","0",1,"Female","X",1.48139008708749,9.41142205219727
"C","0",1,"Female","X",1.48139008708749,14.6841005240941
"A","100",1,"Female","X",1.48139008708749,14.8440460209791
"B","100",1,"Female","X",1.48139008708749,14.3564032763832
"C","100",1,"Female","X",1.48139008708749,16.5311294421074
"A","200",1,"Female","X",1.48139008708749,15.1458400158021
"B","200",1,"Female","X",1.48139008708749,9.94570179640809
"C","200",1,"Female","X",1.48139008708749,20.2722288809488
"A","0",2,"Female","X",4.40147529049421,14.9119915543978
"B","0",2,"Female","X",4.40147529049421,14.7681793989344
"C","0",2,"Female","X",4.40147529049421,16.9519340339756
"A","100",2,"Female","X",4.40147529049421,13.6746600768391
"B","100",2,"Female","X",4.40147529049421,15.0551496954161
"C","100",2,"Female","X",4.40147529049421,20.9984953063209
"A","200",2,"Female","X",4.40147529049421,20.3531421719992
"B","200",2,"Female","X",4.40147529049421,14.6633439611626
"C","200",2,"Female","X",4.40147529049421,21.6530685230024
"A","0",3,"Male","X",-3.84913166130494,4.99009191845877
"B","0",3,"Male","X",-3.84913166130494,4.20480074047982
"C","0",3,"Male","X",-3.84913166130494,6.00403587195469
"A","100",3,"Male","X",-3.84913166130494,7.7993347231737
"B","100",3,"Male","X",-3.84913166130494,6.47293008205957
"C","100",3,"Male","X",-3.84913166130494,11.9519035980797
"A","200",3,"Male","X",-3.84913166130494,13.7580066782496
"B","200",3,"Male","X",-3.84913166130494,5.7111957254704
"C","200",3,"Male","X",-3.84913166130494,15.4070841707606
"A","0",4,"Female","X",-0.745940551478893,8.37066513568834
"B","0",4,"Female","X",-0.745940551478893,9.2262920542322
"C","0",4,"Female","X",-0.745940551478893,10.2474138637317
"A","100",4,"Female","X",-0.745940551478893,14.086757686465
"B","100",4,"Female","X",-0.745940551478893,9.16292296833912
"C","100",4,"Female","X",-0.745940551478893,11.9432892939832
"A","200",4,"Female","X",-0.745940551478893,10.0512911265673
"B","200",4,"Female","X",-0.745940551478893,11.362798890483
"C","200",4,"Female","X",-0.745940551478893,18.6401036419425
"A","0",5,"Male","X",-0.420028870156698,11.5076745207625
"B","0",5,"Male","X",-0.420028870156698,7.33420040681781
"C","0",5,"Male","X",-0.420028870156698,12.7684052222234
"A","100",5,"Male","X",-0.420028870156698,10.8796952885232
"B","100",5,"Male","X",-0.420028870156698,14.0699833629849
"C","100",5,"Male","X",-0.420028870156698,12.5276108978121
"A","200",5,"Male","X",-0.420028870156698,14.8400153927644
"B","200",5,"Male","X",-0.420028870156698,10.1604342604449
"C","200",5,"Male","X",-0.420028870156698,15.515743015955
"A","0",6,"Female","X",-1.83985074847506,3.24383066344695
